N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year,Season
536,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,3/21/2001,,,0.368,0.338,17.4,14.6,0.11,,,,2001,2001-05,Winter
537,R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/21/2001,,,0.27,0.242,5,4.2,0.017,,,,2001,2001-05,Winter
538,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,3/21/2001,,,0.248,0.246,7,3.8,0.011,,,,2001,2001-05,Winter
539,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/21/2001,,,0.354,0.342,15,9.4,0.095,,,,2001,2001-05,Winter
540,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/21/2001,,,0.218,0.204,9.8,3.8,0,,,,2001,2001-05,Winter
541,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/21/2001,,,0.428,0.406,1.6,1.6,0.286,,,,2001,2001-05,Winter
542,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/21/2001,,,0.164,0.138,9.8,8,0,,,,2001,2001-05,Winter
543,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/21/2001,,,0.272,0.27,3.6,2.6,0.109,,,,2001,2001-05,Winter
544,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,3/22/2001,,,0.502,0.486,8.2,6,0.343,,,,2001,2001-05,Winter
545,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,3/22/2001,,,,,,,,,,,2001,2001-05,Winter
546,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,3/22/2001,,,0.786,0.776,7,3.4,0.699,,,,2001,2001-05,Winter
547,R17,Deer Valley WTP treated water,srp,deer valley-treated,3/22/2001,,,,,,,,,,,2001,2001-05,Winter
548,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,3/22/2001,,,0.416,0.402,4.8,1.2,0.262,,,,2001,2001-05,Winter
549,R19,Val Vista WTP treated water,srp,val vista-treated,3/22/2001,,,,,,,,,,,2001,2001-05,Winter
550,field_blank,field blank,,field,3/22/2001,,,0.006,0.002,0,0,,,,,2001,2001-05,Winter
551,lab_blank,laboratory blank,,lab,3/22/2001,,,0.004,,1.7,,,,,,2001,2001-05,Winter
553,R25,verde river at beeline highway,verde,verde @ beeline,,,,0.132,0.126,5.4,3.8,0,,,,2001,2001-05,
554,R25 rain,verde river at beeline highway,verde,verde @ beeline,,,Rain sample,0.15,0.122,4.6,4.2,,,,,2001,2001-05,
555,R26,AZ Canal - 19th avenue,srp,az canal @ 19 ave.,,,,0.47,0.498,,,,,,,2001,2001-05,
572,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/18/2001,,,0.104,0.112,12.4,8.6,0,0,,,2001,2001-05,
575,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/19/2001,,,,,,,,,,,2001,2001-05,Spring
577,R17,Deer Valley WTP treated water,srp,deer valley-treated,4/19/2001,,,,,,,,,,,2001,2001-05,Spring
579,R19,Val Vista WTP treated water,srp,val vista-treated,4/19/2001,,,,,,,,,,,2001,2001-05,Spring
580,field_blank,field blank,,field,4/19/2001,,,,,0,0,,,,,2001,2001-05,Spring
581,lab_blank,laboratory blank,,lab,4/19/2001,,,,,1.6,,,,,,2001,2001-05,Spring
582,R20,Verde River at Tangle,verde,verde abv horseshoe,,,,,,,,,,,,2001,2001-05,Spring
583,R25,verde river at beeline highway,verde,verde @ beeline,,,,0.082,0.08,10.2,7.4,0,0,,,2001,2001-05,Spring
585,R1,CAP canal above Waddell Canal,cap,cap-siphon,5/15/2001,5/1/2001,,,,,,,,,,2001,2001-05,Spring
586,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/15/2001,5/1/2001,,0.258,0.232,14.8,8.4,0,,,,2001,2001-05,Spring
587,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/15/2001,5/1/2001,,0.402,0.4,0,0,0.235,,,,2001,2001-05,Spring
588,R3,Waddell Canal,cap,waddell canal,5/15/2001,5/1/2001,,0.3,0.296,4.2,2.4,0.133,,,,2001,2001-05,Spring
589,R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/17/2001,5/1/2001,,0.316,0.282,0,0,0.118,,,,2001,2001-05,Spring
590,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/17/2001,5/1/2001,,0.31,0.292,0,0,0.121,,,,2001,2001-05,Spring
591,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/15/2001,5/1/2001,,0.148,0.134,26.6,13.6,0.034,,,,2001,2001-05,Spring
592,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/15/2001,5/1/2001,,0.234,0.182,6.8,3.2,0,,,,2001,2001-05,Spring
593,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/15/2001,5/1/2001,,0.17,0.158,2.4,0,0,,,,2001,2001-05,Spring
594,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/15/2001,5/1/2001,,0.18,0.174,12,12,0.053,,,,2001,2001-05,Spring
595,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/16/2001,5/1/2001,,0.26,0.242,12.4,10.4,0.011,,,,2001,2001-05,Spring
596,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/16/2001,5/1/2001,,0.296,0.25,5.8,5.4,0,,,,2001,2001-05,Spring
597,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,5/16/2001,5/1/2001,,0.3,0.278,5.8,4.6,0,,,,2001,2001-05,Spring
598,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/16/2001,5/1/2001,,0.312,0.3,21.4,20,0.082,,,,2001,2001-05,Spring
599,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/16/2001,5/1/2001,,0.216,0.204,8.4,7.4,0,,,,2001,2001-05,Spring
600,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/16/2001,5/1/2001,,0.338,0.346,0,0,0.13,,,,2001,2001-05,Spring
601,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/16/2001,5/1/2001,,0.228,0.21,6,5.4,0,,,,2001,2001-05,Spring
602,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/16/2001,5/1/2001,,0.246,0.202,3.4,2.2,0.031,,,,2001,2001-05,Spring
603,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/17/2001,5/1/2001,,0.286,0.262,1.8,1,0.052,,,,2001,2001-05,Spring
604,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,5/17/2001,5/1/2001,,,,,,,,,,2001,2001-05,Spring
605,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/17/2001,5/1/2001,,0.656,0.656,1.8,1,0.367,,,,2001,2001-05,Spring
606,R17,Deer Valley WTP treated water,srp,deer valley-treated,5/17/2001,5/1/2001,,,,,,,,,,2001,2001-05,Spring
607,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/17/2001,5/1/2001,,0.272,0.224,2.6,0,0.044,,,,2001,2001-05,Spring
608,R19,Val Vista WTP treated water,srp,val vista-treated,5/17/2001,5/1/2001,,,,,,,,,,2001,2001-05,Spring
609,field_blank,field blank,,field,5/17/2001,5/1/2001,,,,,,,,,,2001,2001-05,Spring
610,lab_blank,laboratory blank,,lab,5/17/2001,5/1/2001,,,,,,,,,,2001,2001-05,Spring
611,R20,Verde River at Tangle,verde,verde abv horseshoe,5/17/2001,5/1/2001,,0.094,0.066,11,4,0,,,,2001,2001-05,Spring
612,R25,verde river at beeline highway,verde,verde @ beeline,5/17/2001,5/1/2001,,0.114,0.116,9.6,4.8,0,,,,2001,2001-05,Spring
613,R26,AZ Canal - 19th avenue,srp,az canal @ 19 ave.,5/17/2001,5/1/2001,,0.386,0.37,4.6,1.6,0.173,,,,2001,2001-05,Spring
614,R1,CAP canal above Waddell Canal,cap,cap-siphon,6/12/2001,6/1/2001,,0.264,0.235,3.4,0,,,,,2001,2001-05,Spring
615,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/12/2001,6/1/2001,,0.268,0.193,0.8,0,,,,,2001,2001-05,Spring
616,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/12/2001,6/1/2001,,0.332,0.322,0.9,0,,,,,2001,2001-05,Spring
617,R3,Waddell Canal,cap,waddell canal,6/12/2001,6/1/2001,,0.526,0.397,3.7,0,,,,,2001,2001-05,Spring
618,R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/14/2001,6/1/2001,,0.451,0.281,7.8,0,,,,,2001,2001-05,Spring
619,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,6/14/2001,6/1/2001,,0.248,0.244,4.6,0,,,,,2001,2001-05,Spring
620,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/12/2001,6/1/2001,,0.03,0.037,24,5.7,,,,,2001,2001-05,Spring
621,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/12/2001,6/1/2001,,0.345,0.297,16.9,0,,,,,2001,2001-05,Spring
622,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/12/2001,6/1/2001,,0.349,0.388,2.1,0,,,,,2001,2001-05,Spring
623,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/12/2001,6/1/2001,,0.162,0.138,26.4,6.4,,,,,2001,2001-05,Spring
624,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/13/2001,6/1/2001,,0.219,0.227,19.1,5.5,,,,,2001,2001-05,Spring
625,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/13/2001,6/1/2001,,0.289,0.21,14.2,0,,,,,2001,2001-05,Spring
626,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,6/13/2001,6/1/2001,,0.297,0.23,15.6,0,,,,,2001,2001-05,Spring
627,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/13/2001,6/1/2001,,0.288,0.283,15.4,6.5,,,,,2001,2001-05,Spring
628,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/13/2001,6/1/2001,,0.206,0.253,16.4,10.4,,,,,2001,2001-05,Spring
629,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/13/2001,6/1/2001,,0.308,0.301,2.8,0,,,,,2001,2001-05,Spring
630,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/13/2001,6/1/2001,,0.302,0.312,18.6,5.4,,,,,2001,2001-05,Spring
631,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/13/2001,6/1/2001,,0.373,0.273,17,3.6,,,,,2001,2001-05,Spring
632,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/14/2001,6/1/2001,,0.301,0.203,30.9,0,,,,,2001,2001-05,Spring
633,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/14/2001,6/1/2001,,,,,,,,,,2001,2001-05,Spring
634,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/14/2001,6/1/2001,,0.5,0.469,19.4,0,,,,,2001,2001-05,Spring
635,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/14/2001,6/1/2001,,,,,,,,,,2001,2001-05,Spring
636,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/14/2001,6/1/2001,,0.274,0.201,14.5,0,,,,,2001,2001-05,Spring
637,R19,Val Vista WTP treated water,srp,val vista-treated,6/14/2001,6/1/2001,,,,,,,,,,2001,2001-05,Spring
638,field_blank,field blank,,field,6/14/2001,6/1/2001,,,,,,,,,,2001,2001-05,Spring
639,lab_blank,laboratory blank,,lab,6/14/2001,6/1/2001,,,,,,,,,,2001,2001-05,Spring
640,R20,Verde River at Tangle,verde,verde abv horseshoe,6/14/2001,6/1/2001,,0.123,0.164,163.5,5.6,,,,,2001,2001-05,Spring
641,R25,verde river at beeline highway,verde,verde @ beeline,6/13/2001,6/1/2001,,0.105,0.122,6.8,5.9,,,,,2001,2001-05,Spring
642,R26,AZ Canal - 19th avenue,srp,az canal @ 19 ave.,6/14/2001,6/1/2001,,0.366,0.345,34.4,7.3,,,,,2001,2001-05,Spring
643,R1,CAP canal above Waddell Canal,cap,cap-siphon,7/10/2001,7/1/2001,,0.262,0.235,0,5.4,,,,,2001,2001-05,Summer
644,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/10/2001,7/1/2001,,0.291,0.2,4.7,3.8,,,,,2001,2001-05,Summer
645,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/10/2001,7/1/2001,,0.421,0.371,8.7,6.5,,,,,2001,2001-05,Summer
646,R3,Waddell Canal,cap,waddell canal,7/10/2001,7/1/2001,,0.364,0.324,4.9,6.5,,,,,2001,2001-05,Summer
647,R4,Cap Canal at 7th St.,cap,cap @ 7th st,7/12/2001,7/1/2001,,0.371,0.28,5.6,4.7,,,,,2001,2001-05,Summer
648,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,7/12/2001,7/1/2001,,0.307,0.297,2,2.2,,,,,2001,2001-05,Summer
649,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,7/10/2001,7/1/2001,,0.302,0.112,30.9,23.8,,,,,2001,2001-05,Summer
650,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/10/2001,7/1/2001,,0.191,0.215,4.4,18.1,,,,,2001,2001-05,Summer
651,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/10/2001,7/1/2001,,0.336,0.261,6.5,5.7,,,,,2001,2001-05,Summer
652,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,7/10/2001,7/1/2001,,0.162,0.14,20.5,15.6,,,,,2001,2001-05,Summer
653,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,7/11/2001,7/1/2001,,0.241,0.183,16.2,2.2,,,,,2001,2001-05,Summer
654,R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/11/2001,7/1/2001,,0.257,0.183,11.2,0,,,,,2001,2001-05,Summer
655,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,7/11/2001,7/1/2001,,0.247,0.199,3.8,4.6,,,,,2001,2001-05,Summer
656,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/11/2001,7/1/2001,,0.23,0.183,9.9,10.1,,,,,2001,2001-05,Summer
