N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year,Season
3156,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/13/2004,4/13/2004,,0.4164,0.388,7.6,,,,,2004,,2001-05,Spring
3157,R20,Verde River at Tangle,verde,verde abv horseshoe,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3158,Havasu 1,Havasu lake Sample,,Havasu 1,4/20/2004,4/20/2004,,0.467,0.491,,,,,,2004,,2001-05,Spring
3159,Havasu 2,Havasu lake Sample,,Havasu 2,4/20/2004,4/20/2004,,0.491,0.456,,,,,,2004,,2001-05,Spring
3160,Roosvelt,srp above Roosevelt Lake,,Above Roosevelt,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3161,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3162,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3163,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3164,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,4/13/2004,4/13/2004,,,,26,,,,,2004,,2001-05,Spring
3165,R1,CAP canal above Waddell Canal,cap,cap-siphon,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3166,R4,Cap Canal at 7th St.,cap,cap @ 7th st,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3167,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3168,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3169,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3170,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3171,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3172,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,4/13/2004,4/13/2004,,,,,,,,,2004,,2001-05,Spring
3173,R3,Waddell Canal,cap,waddell canal,5/18/2004,5/18/2004,,,0.39,0,,,,,2004,,2001-05,Spring
3174,UH In,Union Hills Inlet,cap,Union Hills Inlet,5/18/2004,5/18/2004,,,0.404,8.4,,,,,2004,,2001-05,Spring
3175,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,5/18/2004,5/18/2004,,,0.325,,,,,,2004,,2001-05,Spring
3176,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/18/2004,5/18/2004,,,0.386,0,,,,,2004,,2001-05,Spring
3177,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,5/18/2004,5/18/2004,,,0.291,,,,,,2004,,2001-05,Spring
3178,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/18/2004,5/18/2004,,,0.296,4.8,,,,,2004,,2001-05,Spring
3179,R19,Val Vista WTP treated water,srp,val vista-treated,5/18/2004,5/18/2004,,,0.308,,,,,,2004,,2001-05,Spring
3183,R25,verde river at beeline highway,verde,verde @ beeline,5/18/2004,5/18/2004,,,0.141,,,,,,2004,,2001-05,Spring
3184,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/18/2004,5/18/2004,,,0.241,5.3,,,,,2004,,2001-05,Spring
3185,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/18/2004,5/18/2004,,,0.227,5.7,,,,,2004,,2001-05,Spring
3186,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/18/2004,5/18/2004,,,0.316,0,,,,,2004,,2001-05,Spring
3187,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/18/2004,5/18/2004,,,0.396,12.7,,,,,2004,,2001-05,Spring
3188,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,5/18/2004,5/18/2004,,,0.36,,,,,,2004,,2001-05,Spring
3189,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/18/2004,5/18/2004,,,0.531,33,,,,,2004,,2001-05,Spring
3190,R17,Deer Valley WTP treated water,srp,deer valley-treated,5/18/2004,5/18/2004,,,0.55,,,,,,2004,,2001-05,Spring
3191,Green In,Greenway WTP Inlet,srp,Green In,5/18/2004,5/18/2004,,,0.736,21.7,,,,,2004,,2001-05,Spring
3192,Green Out,Greenway WTP Outlet,srp,Green Out,5/18/2004,5/18/2004,,,0.52,,,,,,2004,,2001-05,Spring
3195,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3196,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3197,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/18/2004,5/18/2004,,0.192,0.189,,,,,,2004,,2001-05,Spring
3198,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/18/2004,5/18/2004,,0.224,0.217,19.9,,,,,2004,,2001-05,Spring
3199,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/18/2004,5/18/2004,,0.324,0.334,46.1,,,,,2004,,2001-05,Spring
3200,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,5/18/2004,5/18/2004,,0.359,0.317,12.7,,,,,2004,,2001-05,Spring
3201,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/18/2004,5/18/2004,,0.321,0.274,14.3,,,,,2004,,2001-05,Spring
3202,R20,Verde River at Tangle,verde,verde abv horseshoe,5/27/2004,5/27/2004,,,0.185,13.9,,,,,2004,,2001-05,Spring
3203,Havasu 1,Havasu lake Sample,,Havasu 1,5/25/2004,5/25/2004,,,0.425,,,,,,2004,,2001-05,Spring
3204,Havasu 2,Havasu lake Sample,,Havasu 2,5/25/2004,5/25/2004,,,0.429,,,,,,2004,,2001-05,Spring
3205,Roosvelt,srp above Roosevelt Lake,,Above Roosevelt,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3206,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3207,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3208,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3209,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/18/2004,5/18/2004,,,,8,,,,,2004,,2001-05,Spring
3210,R1,CAP canal above Waddell Canal,cap,cap-siphon,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3211,R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3212,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3213,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3214,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3215,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3216,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3217,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,5/18/2004,5/18/2004,,,,,,,,,2004,,2001-05,Spring
3218,R3,Waddell Canal,cap,waddell canal,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3219,UH In,Union Hills Inlet,cap,Union Hills Inlet,6/21/2004,6/21/2004,,,0.442,4.4,,,,,2004,,2001-05,Spring
3220,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,6/21/2004,6/21/2004,,,0.331,,,,,,2004,,2001-05,Spring
3221,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/21/2004,6/21/2004,,,0.33,4.5,,,,,2004,,2001-05,Spring
3222,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,6/21/2004,6/21/2004,,,0.361,,,,,,2004,,2001-05,Spring
3223,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/21/2004,6/21/2004,,,0.39,13.6,,,,,2004,,2001-05,Spring
3224,R19,Val Vista WTP treated water,srp,val vista-treated,6/21/2004,6/21/2004,,,0.327,,,,,,2004,,2001-05,Spring
3228,R25,verde river at beeline highway,verde,verde @ beeline,6/21/2004,6/21/2004,,,0.144,10.1,,,,,2004,,2001-05,Spring
3229,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/21/2004,6/21/2004,,,0.406,26.4,,,,,2004,,2001-05,Spring
3230,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/21/2004,6/21/2004,,,0.314,19.2,,,,,2004,,2001-05,Spring
3231,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/21/2004,6/21/2004,,,0.317,16.9,,,,,2004,,2001-05,Spring
3232,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/21/2004,6/21/2004,,,0.356,,,,,,2004,,2001-05,Spring
3233,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/21/2004,6/21/2004,,,0.241,,,,,,2004,,2001-05,Spring
3234,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/21/2004,6/21/2004,,,0.359,12.3,,,,,2004,,2001-05,Spring
3235,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/21/2004,6/21/2004,,,0.314,,,,,,2004,,2001-05,Spring
3236,Green In,Greenway WTP Inlet,srp,Green In,6/21/2004,6/21/2004,,,0.329,18,,,,,2004,,2001-05,Spring
3237,Green Out,Greenway WTP Outlet,srp,Green Out,6/21/2004,6/21/2004,,,0.406,,,,,,2004,,2001-05,Spring
3240,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/21/2004,6/21/2004,,,0.228,,,,,,2004,,2001-05,Spring
3241,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/21/2004,6/21/2004,,,0.245,,,,,,2004,,2001-05,Spring
3242,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/21/2004,6/21/2004,,,0.31,11.9,,,,,2004,,2001-05,Spring
3243,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/21/2004,6/21/2004,,,0.261,12.3,,,,,2004,,2001-05,Spring
3244,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/21/2004,6/21/2004,,,0.548,12.8,,,,,2004,,2001-05,Spring
3245,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,6/21/2004,6/21/2004,,,0.552,14.5,,,,,2004,,2001-05,Spring
3246,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/21/2004,6/21/2004,,,0.778,25.5,,,,,2004,,2001-05,Spring
3247,R20,Verde River at Tangle,verde,verde abv horseshoe,6/21/2004,6/21/2004,,,0.146,25.5,,,,,2004,,2001-05,Spring
3248,Havasu 1,Havasu lake Sample,,Havasu 1,6/22/2004,6/22/2004,,,0.463,,,,,,2004,,2001-05,Spring
3249,Havasu 2,Havasu lake Sample,,Havasu 2,6/22/2004,6/22/2004,,,0.442,,,,,,2004,,2001-05,Spring
3250,Roosvelt,srp above Roosevelt Lake,,Above Roosevelt,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3251,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3252,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3253,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3254,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/21/2004,6/21/2004,,,,10.2,,,,,2004,,2001-05,Spring
3255,R1,CAP canal above Waddell Canal,cap,cap-siphon,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3256,R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3257,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3258,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3259,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3260,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3261,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3262,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,6/21/2004,6/21/2004,,,,,,,,,2004,,2001-05,Spring
3263,R3,Waddell Canal,cap,waddell canal,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3264,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/20/2004,7/20/2004,,,0.396,4.4,,,,,2004,,2001-05,Summer
3265,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/20/2004,7/20/2004,,,0.366,,,,,,2004,,2001-05,Summer
3266,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/20/2004,7/20/2004,,,0.381,4.5,,,,,2004,,2001-05,Summer
3267,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,7/20/2004,7/20/2004,,,0.366,,,,,,2004,,2001-05,Summer
3268,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/20/2004,7/20/2004,,,0.356,13.6,,,,,2004,,2001-05,Summer
3269,R19,Val Vista WTP treated water,srp,val vista-treated,7/20/2004,7/20/2004,,,0.295,,,,,,2004,,2001-05,Summer
3273,R25,verde river at beeline highway,verde,verde @ beeline,7/20/2004,7/20/2004,,,0.166,10.1,,,,,2004,,2001-05,Summer
3274,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/20/2004,7/20/2004,,,0.381,26.4,,,,,2004,,2001-05,Summer
3275,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/20/2004,7/20/2004,,,0.373,19.2,,,,,2004,,2001-05,Summer
3276,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/20/2004,7/20/2004,,,0.384,16.9,,,,,2004,,2001-05,Summer
3277,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/20/2004,7/20/2004,,,0.366,,,,,,2004,,2001-05,Summer
3278,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/20/2004,7/20/2004,,,0.31,,,,,,2004,,2001-05,Summer
3279,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/20/2004,7/20/2004,,,0.342,12.3,,,,,2004,,2001-05,Summer
3280,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/20/2004,7/20/2004,,,0.316,,,,,,2004,,2001-05,Summer
3281,Green In,Greenway WTP Inlet,srp,Green In,7/20/2004,7/20/2004,,,0.334,18,,,,,2004,,2001-05,Summer
3282,Green Out,Greenway WTP Outlet,srp,Green Out,7/20/2004,7/20/2004,,,0.3,,,,,,2004,,2001-05,Summer
3285,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/20/2004,7/20/2004,,,0.275,,,,,,2004,,2001-05,Summer
3286,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/20/2004,7/20/2004,,,0.38,,,,,,2004,,2001-05,Summer
3287,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/20/2004,7/20/2004,,,0.267,11.9,,,,,2004,,2001-05,Summer
3288,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/20/2004,7/20/2004,,,0.364,12.3,,,,,2004,,2001-05,Summer
3289,R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/20/2004,7/20/2004,,,0.411,12.8,,,,,2004,,2001-05,Summer
3290,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,7/20/2004,7/20/2004,,,,14.5,,,,,2004,,2001-05,Summer
3291,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/20/2004,7/20/2004,,,0.383,25.5,,,,,2004,,2001-05,Summer
3292,R20,Verde River at Tangle,verde,verde abv horseshoe,7/20/2004,7/20/2004,,,0.448,25.5,,,,,2004,,2001-05,Summer
3293,Havasu 1,Havasu lake Sample,,Havasu 1,7/20/2004,7/20/2004,,,0.433,,,,,,2004,,2001-05,Summer
3294,Havasu 2,Havasu lake Sample,,Havasu 2,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3295,Roosvelt,srp above Roosevelt Lake,,Above Roosevelt,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3296,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3297,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3298,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3299,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/20/2004,7/20/2004,,,,10.2,,,,,2004,,2001-05,Summer
3300,R1,CAP canal above Waddell Canal,cap,cap-siphon,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3301,R4,Cap Canal at 7th St.,cap,cap @ 7th st,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3302,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3303,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3304,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3305,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3306,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3307,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/20/2004,7/20/2004,,,,,,,,,2004,,2001-05,Summer
3308,R3,Waddell Canal,cap,waddell canal,8/17/2004,8/17/2004,,,0.411,8.2,,,,,2004,,2001-05,Summer
3309,UH In,Union Hills Inlet,cap,Union Hills Inlet,8/17/2004,8/17/2004,,,0.418,60,,,,,2004,,2001-05,Summer
3310,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,8/17/2004,8/17/2004,,,0.427,,,,,,2004,,2001-05,Summer
3311,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/17/2004,8/17/2004,,,0.338,6.3,,,,,2004,,2001-05,Summer
3312,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,8/17/2004,8/17/2004,,,0.351,47.5,,,,,2004,,2001-05,Summer
3313,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/17/2004,8/17/2004,,,0.377,7.9,,,,,2004,,2001-05,Summer
3314,R19,Val Vista WTP treated water,srp,val vista-treated,8/17/2004,8/17/2004,,,0.309,,,,,,2004,,2001-05,Summer
3318,R25,verde river at beeline highway,verde,verde @ beeline,8/17/2004,8/17/2004,,,0.511,200,,,,,2004,,2001-05,Summer
3319,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/17/2004,8/17/2004,,,0.401,40.6,,,,,2004,,2001-05,Summer
3320,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/17/2004,8/17/2004,,,0.387,33.8,,,,,2004,,2001-05,Summer
3321,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/17/2004,8/17/2004,,,0.33,14.2,,,,,2004,,2001-05,Summer
3322,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/17/2004,8/17/2004,,,0.408,,,,,,2004,,2001-05,Summer
3323,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/17/2004,8/17/2004,,,0.359,,,,,,2004,,2001-05,Summer
3324,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/17/2004,8/17/2004,,,0.78,39,,,,,2004,,2001-05,Summer
3325,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/17/2004,8/17/2004,,,0.688,,,,,,2004,,2001-05,Summer
3326,Green In,Greenway WTP Inlet,srp,Green In,8/17/2004,8/17/2004,,,1.572,,,,,,2004,,2001-05,Summer
3327,Green Out,Greenway WTP Outlet,srp,Green Out,8/17/2004,8/17/2004,,,0.449,,,,,,2004,,2001-05,Summer
3330,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/17/2004,8/17/2004,,,0.286,,,,,,2004,,2001-05,Summer
3331,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/17/2004,8/17/2004,,,0.565,,,,,,2004,,2001-05,Summer
3332,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/17/2004,8/17/2004,,,0.351,11,,,,,2004,,2001-05,Summer
3333,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/17/2004,8/17/2004,,,0.409,21.4,,,,,2004,,2001-05,Summer
3334,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/17/2004,8/17/2004,,,0.627,55,,,,,2004,,2001-05,Summer
3335,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,8/17/2004,8/17/2004,,,0.507,23.5,,,,,2004,,2001-05,Summer
3336,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/17/2004,8/17/2004,,,0.45,26.8,,,,,2004,,2001-05,Summer
3337,R20,Verde River at Tangle,verde,verde abv horseshoe,8/17/2004,8/17/2004,,,0.349,162.9,,,,,2004,,2001-05,Summer
3338,Havasu 1,Havasu lake Sample,,Havasu 1,8/17/2004,8/17/2004,,,0.438,6.8,,,,,2004,,2001-05,Summer
3339,Havasu 2,Havasu lake Sample,,Havasu 2,8/17/2004,8/17/2004,,,0.566,2.7,,,,,2004,,2001-05,Summer
3340,Roosvelt,srp above Roosevelt Lake,,Above Roosevelt,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3341,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3342,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3343,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3344,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,8/17/2004,8/17/2004,,,,47.6,,,,,2004,,2001-05,Summer
3345,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3346,R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3347,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3348,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3349,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3350,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3351,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3352,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,8/17/2004,8/17/2004,,,,,,,,,2004,,2001-05,Summer
3353,R3,Waddell Canal,cap,waddell canal,9/14/2004,9/14/2004,,,0.282,6.5,,,,,2004,,2001-05,Summer
3354,UH In,Union Hills Inlet,cap,Union Hills Inlet,9/14/2004,9/14/2004,,,0.263,4.9,,,,,2004,,2001-05,Summer
3355,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,9/14/2004,9/14/2004,,,0.272,,,,,,2004,,2001-05,Summer
3356,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/14/2004,9/14/2004,,,0.29,6.2,,,,,2004,,2001-05,Summer
3357,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,9/14/2004,9/14/2004,,,0.255,19.2,,,,,2004,,2001-05,Summer
3358,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/14/2004,9/14/2004,,,0.31,12.3,,,,,2004,,2001-05,Summer
3359,R19,Val Vista WTP treated water,srp,val vista-treated,9/14/2004,9/14/2004,,,0.273,,,,,,2004,,2001-05,Summer
3363,R25,verde river at beeline highway,verde,verde @ beeline,9/14/2004,9/14/2004,,,0.207,25.2,,,,,2004,,2001-05,Summer
3364,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/14/2004,9/14/2004,,,0.314,25.5,,,,,2004,,2001-05,Summer
3365,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/14/2004,9/14/2004,,,0.295,24.9,,,,,2004,,2001-05,Summer
3366,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/14/2004,9/14/2004,,,0.244,11.1,,,,,2004,,2001-05,Summer
3367,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/14/2004,9/14/2004,,,0.316,19.5,,,,,2004,,2001-05,Summer
3368,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/14/2004,9/14/2004,,,0.301,,,,,,2004,,2001-05,Summer
3369,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/14/2004,9/14/2004,,,0.689,12.3,,,,,2004,,2001-05,Summer
3370,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/14/2004,9/14/2004,,,0.547,,,,,,2004,,2001-05,Summer
3371,Green In,Greenway WTP Inlet,srp,Green In,9/14/2004,9/14/2004,,,2.817,11.7,,,,,2004,,2001-05,Summer
3372,Green Out,Greenway WTP Outlet,srp,Green Out,9/14/2004,9/14/2004,,,1.718,,,,,,2004,,2001-05,Summer
3375,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/14/2004,9/14/2004,,,0.223,8.8,,,,,2004,,2001-05,Summer
3376,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/14/2004,9/14/2004,,,0.341,29.8,,,,,2004,,2001-05,Summer
