N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year
10636,GR IN,Greenway WTP Inlet,srp,Green In,8/21/2018,8/21/2018,,,1.789,,,,,,2018,,2016-20
10661,GR IN,Greenway WTP Inlet,srp,Green In,8/21/2018,8/21/2018,,,1.789,,,,,,2018,,2016-20
10686,GR IN,Greenway WTP Inlet,srp,Green In,9/25/2018,9/25/2018,,,1.06,,,,,,2018,,2016-20
10711,GR IN,Greenway WTP Inlet,srp,Green In,9/25/2018,9/25/2018,,,1.06,,,,,,2018,,2016-20
10736,GR IN,Greenway WTP Inlet,srp,Green In,10/22/2018,10/22/2018,,,1.858,,,,,,2018,,2016-20
10761,GR IN,Greenway WTP Inlet,srp,Green In,10/22/2018,10/22/2018,,,1.858,,,,,,2018,,2016-20
10786,GR IN,Greenway WTP Inlet,srp,Green In,11/26/2018,11/26/2018,,,0.098,,,,,,2018,,2016-20
10811,GR IN,Greenway WTP Inlet,srp,Green In,11/26/2018,11/26/2018,,,0.098,,,,,,2018,,2016-20
10836,GR IN,Greenway WTP Inlet,srp,Green In,12/6/2018,12/6/2018,,,,,,,,,2018,,2016-20
10861,GR IN,Greenway WTP Inlet,srp,Green In,12/6/2018,12/6/2018,,,,,,,,,2018,,2016-20
10886,GR IN,Greenway WTP Inlet,srp,Green In,1/22/2019,1/22/2019,,,0.397,,,,,,2019,,2016-20
10911,GR IN,Greenway WTP Inlet,srp,Green In,1/22/2019,1/22/2019,,,0.397,,,,,,2019,,2016-20
10936,GR IN,Greenway WTP Inlet,srp,Green In,2/25/2019,2/25/2019,,,,,,,,,2019,,2016-20
10961,GR IN,Greenway WTP Inlet,srp,Green In,2/25/2019,2/25/2019,,,,,,,,,2019,,2016-20
10986,GR IN,Greenway WTP Inlet,srp,Green In,3/25/2019,3/25/2019,,,0.397,,,,,,2019,,2016-20
11011,GR IN,Greenway WTP Inlet,srp,Green In,3/25/2019,3/25/2019,,,0.397,,,,,,2019,,2016-20
11036,GR IN,Greenway WTP Inlet,srp,Green In,4/22/2019,4/22/2019,,,1.947,,,,,,2019,,2016-20
11061,GR IN,Greenway WTP Inlet,srp,Green In,4/22/2019,4/22/2019,,,1.947,,,,,,2019,,2016-20
11086,GR IN,Greenway WTP Inlet,srp,Green In,5/7/2019,5/7/2019,,,0.577,,,,,,2019,,2016-20
11111,GR IN,Greenway WTP Inlet,srp,Green In,5/7/2019,5/7/2019,,,0.579,,,,,,2019,,2016-20
11136,GR IN,Greenway WTP Inlet,srp,Green In,6/13/2019,6/13/2019,,,0.525,,,,,,2019,,2016-20
11161,GR IN,Greenway WTP Inlet,srp,Green In,6/13/2019,6/13/2019,,,0.525,,,,,,2019,,2016-20
11186,GR IN,Greenway WTP Inlet,srp,Green In,7/22/2019,7/22/2019,,,0.475,,,,,,2019,,2016-20
11211,GR IN,Greenway WTP Inlet,srp,Green In,7/22/2019,7/22/2019,,,0.475,,,,,,2019,,2016-20
11236,GR IN,Greenway WTP Inlet,srp,Green In,8/19/2019,8/19/2019,,,0.869,,,,,,2019,,2016-20
11261,GR IN,Greenway WTP Inlet,srp,Green In,8/19/2019,8/19/2019,,,0.869,,,,,,2019,,2016-20
11286,GR IN,Greenway WTP Inlet,srp,Green In,9/24/2019,9/24/2019,,,0.568,,,,,,2019,,2016-20
11311,GR IN,Greenway WTP Inlet,srp,Green In,9/24/2019,9/24/2019,,,0.568,,,,,,2019,,2016-20
11336,GR IN,Greenway WTP Inlet,srp,Green In,10/21/2019,10/21/2019,,,0.695,,,,,,,,2016-20
11361,GR IN,Greenway WTP Inlet,srp,Green In,10/21/2019,10/21/2019,,,0.695,,,,,,,,2016-20
11386,GR IN,Greenway WTP Inlet,srp,Green In,11/25/2019,11/25/2019,,,1.86,,,,,,,,2016-20
11411,GR IN,Greenway WTP Inlet,srp,Green In,11/25/2019,11/25/2019,,,,,,,,,,,2016-20
11436,GR IN,Greenway WTP Inlet,srp,Green In,12/18/2019,12/18/2019,,,2.375,,,,,,,,2016-20
11461,GR IN,Greenway WTP Inlet,srp,Green In,12/18/2019,12/18/2019,,,2.375,,,,,,,,2016-20
11486,GR IN,Greenway WTP Inlet,srp,Green In,1/1/2020,1/1/2020,,,,,,,,,2020,,2016-20
11511,GR IN,Greenway WTP Inlet,srp,Green In,1/1/2020,1/1/2020,,,,,,,,,2020,,2016-20
11536,GR IN,Greenway WTP Inlet,srp,Green In,2/1/2020,2/1/2020,,,,,,,,,2020,,2016-20
11561,GR IN,Greenway WTP Inlet,srp,Green In,2/1/2020,2/1/2020,,,,,,,,,2020,,2016-20
