ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,DOC,UVA,SUVA,TDN,E. coli,Coliform,Mycobacterium,Season,Year
11284,R25,verde river at beeline highway,verde,verde @ beeline,3/25/2019,4.54,0.201,4.43,0.343,168,124,,Winter,2019
11308,R3,Waddell Canal,cap,waddell canal,3/25/2019,2.65,0.056,2.11,0.335,10,720,,Winter,2019
11324,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,3/25/2019,,,,,32,364,94,Winter,2019
11268,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/25/2019,2.76,0.109,3.96,0.346,64,284,,Winter,2019
11269,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,2/25/2019,,,,,,,,Winter,2019
11263,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/25/2019,2.59,0.047,1.81,0.528,6,196,,Winter,2019
11266,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/25/2019,2.52,0.05,1.98,0.559,11,296,,Winter,2019
11267,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/25/2019,2.61,0.11,4.22,0.402,48,258,,Winter,2019
11271,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/25/2019,2.68,0.157,5.86,0.445,80,350,104,Winter,2019
11270,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/25/2019,2.62,0.109,4.15,0.541,56,104,144,Winter,2019
11265,R25,verde river at beeline highway,verde,verde @ beeline,2/25/2019,3.93,0.228,5.8,0.69,72,808,76,Winter,2019
11258,R3,Waddell Canal,cap,waddell canal,2/25/2019,2.49,0.051,2.05,0.517,132,172,5,Winter,2019
11274,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2/25/2019,2.65,0.179,6.76,0.234,88,309,,Winter,2019
11218,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,1/21/2019,,,,,,,,Winter,2019
11219,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,1/21/2019,,,,,,,80,Winter,2019
11213,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/21/2019,,,,,,,25,Winter,2019
11216,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/21/2019,,,,,,,56,Winter,2019
11217,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/21/2019,,,,,,,96,Winter,2019
11221,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/21/2019,4.33,,,0.358,212,1008,49,Winter,2019
11220,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/21/2019,4.53,,,0.474,132,,,Winter,2019
11184,R25,verde river at beeline highway,verde,verde @ beeline,1/21/2019,4.54,0.083,1.83,0.343,168,124,408,Winter,2019
11208,R3,Waddell Canal,cap,waddell canal,1/21/2019,2.65,0.053,2,0.335,10,720,,Winter,2019
11224,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,1/21/2019,,,,,32,364,114,Winter,2019
11168,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,12/15/2018,,0.063,,,6,640,,Fall,2018
11169,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,12/15/2018,,0.066,,,2,360,,Fall,2018
11163,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/15/2018,,0.042,,,21,1096,,Fall,2018
11166,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/15/2018,,0.041,,,22,984,,Fall,2018
11167,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/15/2018,,0.054,,,11,1152,,Fall,2018
11171,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,12/15/2018,,0.065,,,23,496,,Fall,2018
11170,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,12/15/2018,,0.065,,,20,712,,Fall,2018
11165,R25,verde river at beeline highway,verde,verde @ beeline,12/15/2018,,0.071,,,51,800,18,Fall,2018
11158,R3,Waddell Canal,cap,waddell canal,12/15/2018,,0.043,,,2,1176,8,Fall,2018
11174,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,12/15/2018,,,,,,,32,Fall,2018
11118,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/20/2018,2.58,0.041,1.59,0.13,19,616,5,Fall,2018
11119,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,11/20/2018,2.55,0.042,1.65,0.121,13,640,4,Fall,2018
11113,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/20/2018,2.78,0.039,1.4,0.2,26,920,0,Fall,2018
11116,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/20/2018,2.64,0.039,1.48,0.185,33,1112,0,Fall,2018
11117,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/20/2018,2.78,0.043,1.55,0.166,24,944,1,Fall,2018
11121,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/20/2018,2.68,0.041,1.53,0.069,20,688,6,Fall,2018
11120,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/20/2018,2.6,0.043,1.65,0.154,6,744,1,Fall,2018
11115,R25,verde river at beeline highway,verde,verde @ beeline,11/20/2018,2.26,0.054,2.39,0.256,16,648,8,Fall,2018
11108,R3,Waddell Canal,cap,waddell canal,11/20/2018,3.16,0.04,1.27,0.211,8,840,1,Fall,2018
11124,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,11/20/2018,,,,,,,,Fall,2018
11068,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/22/2018,2.68,0.041,1.53,0.422,29,472,2,Fall,2018
11069,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,10/22/2018,2.59,0.039,1.5,0.395,10,624,13,Fall,2018
11063,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/22/2018,2.83,0.041,1.45,0.428,43,360,2,Fall,2018
11066,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/22/2018,2.69,0.039,1.45,0.405,40,432,0,Fall,2018
11067,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/22/2018,2.66,0.039,1.47,0.433,29,288,1,Fall,2018
11071,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/22/2018,2.77,0.039,1.41,0.444,56,520,20,Fall,2018
11070,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/22/2018,2.63,0.04,1.52,0.488,21,488,17,Fall,2018
11065,R25,verde river at beeline highway,verde,verde @ beeline,10/22/2018,2.73,0.069,2.53,0.753,75,736,,Fall,2018
11058,R3,Waddell Canal,cap,waddell canal,10/22/2018,2.66,0.04,1.5,0.456,4,616,0,Fall,2018
11074,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,10/22/2018,2.86,0.07,2.45,0.667,57,752,,Fall,2018
11018,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/25/2018,2.93,0.058,1.98,0.324,26,1264,3,Fall,2018
11019,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,9/25/2018,2.77,0.053,1.92,0.484,14,1768,3,Fall,2018
11013,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/25/2018,2.67,0.045,1.69,0.297,8,896,2,Fall,2018
11016,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/25/2018,2.68,0.045,1.68,0.268,34,992,0,Fall,2018
11017,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/25/2018,3.12,0.059,1.89,0.335,23,960,2,Fall,2018
11021,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/25/2018,2.83,0.052,1.84,0.258,13,1152,2,Fall,2018
11020,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/25/2018,2.9,0.053,1.83,0.372,31,1080,4,Fall,2018
11015,R25,verde river at beeline highway,verde,verde @ beeline,9/25/2018,2.24,0.057,2.54,0.559,48,832,15,Fall,2018
11008,R3,Waddell Canal,cap,waddell canal,9/25/2018,2.69,0.046,1.71,0.3,6,776,0,Fall,2018
11024,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,9/25/2018,3.91,0.088,2.25,0.501,56,1056,4,Fall,2018
10968,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/21/2018,3.54,0.062,1.75,0.242,24,760,,Summer,2018
10969,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,8/21/2018,3.63,0.064,1.76,0.49,13,1096,,Summer,2018
10963,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/21/2018,3.35,0.051,1.52,0.261,27,344,,Summer,2018
10966,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/21/2018,3.63,0.055,1.52,0.265,11,472,,Summer,2018
10967,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/21/2018,3.52,0.064,1.82,0.236,18,488,,Summer,2018
10971,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/21/2018,3.53,0.064,1.82,0.331,55,1008,,Summer,2018
10970,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/21/2018,3.54,0.065,1.83,0.316,35,976,,Summer,2018
10965,R25,verde river at beeline highway,verde,verde @ beeline,8/21/2018,2.73,0.071,2.6,0.341,67,544,,Summer,2018
10958,R3,Waddell Canal,cap,waddell canal,8/21/2018,3.29,0.052,1.58,0.29,0,144,,Summer,2018
10974,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,8/21/2018,4.17,0.083,1.99,0.29,43,1056,,Summer,2018
10918,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/9/2018,3.87,0.08,2.07,0.297,28,1000,13,Summer,2018
10919,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,7/9/2018,3.73,0.081,2.17,0.304,0,1000,34,Summer,2018
10913,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/9/2018,3.13,0.051,1.63,0.321,11,776,0,Summer,2018
10916,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/9/2018,3.78,0.074,1.96,0.309,20,648,7,Summer,2018
10917,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/9/2018,3.69,0.078,2.12,0.31,17,1040,23,Summer,2018
10921,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/9/2018,3.89,0.081,2.08,0.324,36,960,3,Summer,2018
10920,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/9/2018,3.83,0.082,2.14,0.271,18,1016,18,Summer,2018
10915,R25,verde river at beeline highway,verde,verde @ beeline,7/9/2018,2.07,0.051,2.47,0.312,91,472,40,Summer,2018
10908,R3,Waddell Canal,cap,waddell canal,7/9/2018,2.99,0.053,1.78,0.403,0,896,18,Summer,2018
10924,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,7/9/2018,3.83,0.08,2.09,0.3,27,736,267,Summer,2018
10868,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/4/2018,4.89,0.074,1.51,0.432,16,1808,3,Spring,2018
10869,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,6/4/2018,4.47,0.07,1.56,0.344,14,,3,Spring,2018
10863,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/4/2018,3.73,0.049,1.31,0.409,24,336,3,Spring,2018
10866,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/4/2018,3.66,0.051,1.39,0.394,10,1792,2,Spring,2018
10867,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/4/2018,4.3,0.067,1.56,0.434,17,1392,,Spring,2018
10871,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/4/2018,4.8,0.074,1.54,0.376,23,624,9,Spring,2018
10870,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/4/2018,4.92,0.077,1.57,0.405,54,1016,3,Spring,2018
10865,R25,verde river at beeline highway,verde,verde @ beeline,6/4/2018,3.23,0.05,1.55,0.396,23,1408,19,Spring,2018
10858,R3,Waddell Canal,cap,waddell canal,6/4/2018,3.96,0.075,1.89,0.454,0,392,4,Spring,2018
10874,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,6/4/2018,4.61,0.071,1.54,0.395,7,1080,3,Spring,2018
10818,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/7/2018,3.74,0.067,1.79,0.23,14,1264,2,Spring,2018
10819,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,5/7/2018,3.67,0.067,1.82,0.572,10,824,7,Spring,2018
10813,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/7/2018,2.95,0.049,1.66,0.425,43,448,1,Spring,2018
10816,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/7/2018,3.12,0.048,1.54,0.461,31,896,0,Spring,2018
10817,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/7/2018,3.54,0.062,1.75,0.301,20,1424,1,Spring,2018
10821,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/7/2018,3.6,0.066,1.83,0.259,16,512,1,Spring,2018
10820,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/7/2018,3.77,0.065,1.73,0.342,42,512,11,Spring,2018
10815,R25,verde river at beeline highway,verde,verde @ beeline,5/7/2018,2.37,0.048,2.02,0.345,5,808,56,Spring,2018
10808,R3,Waddell Canal,cap,waddell canal,5/7/2018,3.02,0.046,1.52,0.426,10,408,0,Spring,2018
10824,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,5/7/2018,3.86,0.073,1.89,0.262,13,1184,0,Spring,2018
10768,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,4/2/2018,4.14,0.072,1.74,0.801,31,1032,3,Spring,2018
10769,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,4/2/2018,3.96,0.084,2.12,0.516,2,760,3,Spring,2018
10763,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/2/2018,,,,,,,,Spring,2018
10766,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/2/2018,3.92,0.07,1.79,0.954,26,600,6,Spring,2018
10767,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/2/2018,4.06,0.073,1.8,1.367,24,984,2,Spring,2018
10771,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/2/2018,3.86,0.07,1.82,1.468,14,552,5,Spring,2018
10770,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/2/2018,4.01,0.072,1.8,1.319,10,744,2,Spring,2018
10765,R25,verde river at beeline highway,verde,verde @ beeline,4/2/2018,2.38,0.046,1.94,1.116,12,352,8,Spring,2018
10758,R3,Waddell Canal,cap,waddell canal,4/2/2018,3.07,0.053,1.73,4.856,5,464,3,Spring,2018
10774,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,4/2/2018,4.32,0.07,1.62,1.915,16,976,4,Spring,2018
10718,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,3/5/2018,2.76,0.058,2.1,1.232,20,576,18,Winter,2018
10719,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,3/5/2018,2.67,0.056,2.1,1.124,4,520,2,Winter,2018
10713,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/5/2018,2.59,0.046,1.77,4.76,1,944,,Winter,2018
10716,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/5/2018,2.52,0.044,1.74,5.356,4,840,1,Winter,2018
10717,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/5/2018,2.61,0.056,2.15,2.319,14,840,,Winter,2018
10721,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,3/5/2018,2.68,0.055,2.05,3.156,6,728,21,Winter,2018
10720,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,3/5/2018,2.61,0.055,2.11,4.461,3,560,19,Winter,2018
10684,R25,verde river at beeline highway,verde,verde @ beeline,3/5/2018,3.93,0.071,1.81,7.908,35,696,23,Winter,2018
