ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,DOC,UVA,SUVA,TDN,E. coli,Coliform,Mycobacterium,Season,Year
10471,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/2/2017,3.16,0.072,2.28,0.306,21,2536,3,Fall,2017
10470,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/2/2017,3.07,0.072,2.35,0.323,27,1168,6,Fall,2017
10434,R25,verde river at beeline highway,verde,verde @ beeline,10/2/2017,4,0.111,2.78,0.505,30,1088,18,Fall,2017
10458,R3,Waddell Canal,cap,waddell canal,10/2/2017,2.47,0.048,1.94,0.392,7,1528,0,Fall,2017
10474,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,10/2/2017,3.69,0.088,2.39,0.37,30,1016,17,Fall,2017
10418,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/4/2017,3.7,0.074,2,0.303,42,2024,3,Summer,2017
10419,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,9/4/2017,3.56,0.078,2.19,0.314,13,1568,6,Summer,2017
10413,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/4/2017,3.23,0.052,1.61,0.325,9,2560,0,Summer,2017
10416,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/4/2017,3.25,0.055,1.69,0.294,13,2496,2,Summer,2017
10417,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/4/2017,3.57,0.068,1.91,0.293,20,2416,,Summer,2017
10421,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/4/2017,3.69,0.074,2.01,0.284,44,1224,3,Summer,2017
10420,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/4/2017,3.73,0.076,2.04,0.277,9,1448,4,Summer,2017
10384,R25,verde river at beeline highway,verde,verde @ beeline,9/4/2017,3.97,0.111,2.8,0.351,27,824,6,Summer,2017
10408,R3,Waddell Canal,cap,waddell canal,9/4/2017,3.32,0.064,1.93,0.297,3,1200,0,Summer,2017
10424,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,9/4/2017,4.83,0.092,1.9,0.297,59,1200,7,Summer,2017
10368,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/7/2017,4.01,0.078,1.94,0.339,22,1232,,Summer,2017
10369,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,8/7/2017,3.77,0.072,1.91,0.317,26,1520,,Summer,2017
10363,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/7/2017,3.29,0.049,1.49,0.34,26,1176,10,Summer,2017
10366,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/7/2017,3.31,0.053,1.6,0.328,21,1432,31,Summer,2017
10367,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/7/2017,6.31,0.074,1.17,0.334,41,1432,,Summer,2017
10371,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/7/2017,3.37,0.063,1.87,0.315,13,896,,Summer,2017
10370,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/7/2017,3.48,0.066,1.9,0.331,7,872,,Summer,2017
10334,R25,verde river at beeline highway,verde,verde @ beeline,8/7/2017,3.96,0.11,2.78,0.356,23,752,12,Summer,2017
10358,R3,Waddell Canal,cap,waddell canal,8/7/2017,3.1,0.06,2,0.364,0,1648,1,Summer,2017
10374,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,8/7/2017,4.37,0.087,1.99,0.368,50,1296,,Summer,2017
10318,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/3/2017,3.68,0.065,1.77,0.311,11,1200,12,Summer,2017
10319,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,7/3/2017,3.22,0.067,2.08,0.32,3,872,5,Summer,2017
10313,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/3/2017,3.28,0.051,1.56,0.385,10,744,0,Summer,2017
10316,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/3/2017,2.94,0.062,2.11,0.198,12,704,2,Summer,2017
10317,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/3/2017,3.56,0.065,1.83,0.197,11,1208,1,Summer,2017
10321,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/3/2017,4.23,0.069,1.63,0.194,93,1056,21,Summer,2017
10320,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/3/2017,3.43,0.066,1.92,0.195,5,1048,35,Summer,2017
10284,R25,verde river at beeline highway,verde,verde @ beeline,7/3/2017,4.56,0.123,2.7,0.2,13,1440,36,Summer,2017
10308,R3,Waddell Canal,cap,waddell canal,7/3/2017,3.3,0.052,1.57,0.376,1,600,16,Summer,2017
10324,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,7/3/2017,4.36,0.079,1.81,0.328,19,1040,16,Summer,2017
10268,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/5/2017,4.18,0.092,2.2,0.408,13,984,26,Spring,2017
10269,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,6/5/2017,4.11,0.093,2.26,0.277,1,1040,11,Spring,2017
10263,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/5/2017,3.16,0.048,1.52,0.422,10,1400,3,Spring,2017
10266,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/5/2017,3.3,0.049,1.49,0.455,15,976,0,Spring,2017
10267,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/5/2017,3.82,0.079,2.07,0.41,13,736,14,Spring,2017
10271,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/5/2017,4.09,0.087,2.13,0.373,36,1232,10,Spring,2017
10270,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/5/2017,4.09,0.09,2.2,0.249,8,904,4,Spring,2017
10234,R25,verde river at beeline highway,verde,verde @ beeline,6/5/2017,5.2,0.167,3.21,0.253,64,856,50,Spring,2017
10258,R3,Waddell Canal,cap,waddell canal,6/5/2017,3.98,0.057,1.43,0.516,1,696,1,Spring,2017
10274,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,6/5/2017,4.64,0.123,2.65,0.244,26,1096,,Spring,2017
10218,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/1/2017,3.39,0.171,5.05,0.361,7,952,87,Spring,2017
10219,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,5/1/2017,3.45,0.168,4.87,0.367,19,888,33,Spring,2017
10213,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/1/2017,2.07,0.048,2.32,0.451,12,1344,0,Spring,2017
10216,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/1/2017,2.03,0.056,2.76,0.453,16,1480,37,Spring,2017
10217,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/1/2017,2.92,0.131,4.48,0.416,18,1072,,Spring,2017
10221,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/1/2017,3.45,0.165,4.78,0.389,339,456,99,Spring,2017
10220,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/1/2017,3.64,0.167,4.59,0.376,7,968,83,Spring,2017
10184,R25,verde river at beeline highway,verde,verde @ beeline,5/1/2017,3.7,0.185,5,0.367,10,1208,70,Spring,2017
10208,R3,Waddell Canal,cap,waddell canal,5/1/2017,1.99,0.049,2.46,0.462,4,1392,70,Spring,2017
10224,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,5/1/2017,3.48,0.188,5.4,0.37,26,896,43,Spring,2017
10168,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,4/3/2017,3.93,0.155,3.94,0.409,10,912,57,Spring,2017
10169,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,4/3/2017,3.94,0.154,3.91,0.348,1,904,58,Spring,2017
10163,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/3/2017,2.01,0.045,2.24,0.525,8,1124,6,Spring,2017
10166,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/3/2017,2.74,0.086,3.14,0.488,11,1336,36,Spring,2017
10167,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/3/2017,3.4,0.135,3.97,0.439,13,992,29,Spring,2017
10171,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/3/2017,3.9,0.153,3.93,0.374,37,984,92,Spring,2017
10170,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/3/2017,3.76,0.156,4.15,0.359,16,712,29,Spring,2017
10134,R25,verde river at beeline highway,verde,verde @ beeline,4/3/2017,4.1,0.065,1.58,0.41,12,1304,55,Spring,2017
10158,R3,Waddell Canal,cap,waddell canal,4/3/2017,2.06,0.047,2.29,0.537,0,952,0,Spring,2017
10174,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,4/3/2017,3.76,0.172,4.57,0.442,12,800,,Spring,2017
10119,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,3/6/2017,4.52,0.138,3.05,0.471,13,848,18,Winter,2017
10113,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/6/2017,,,,,,,,Winter,2017
10116,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/6/2017,,,,,,,,Winter,2017
10117,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/6/2017,,,,,,,,Winter,2017
10121,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,3/6/2017,4.49,0.135,3,0.469,170,536,5,Winter,2017
10120,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,3/6/2017,4.66,0.135,2.89,0.475,16,1280,13,Winter,2017
10084,R25,verde river at beeline highway,verde,verde @ beeline,3/6/2017,4.831,0.16,3.291244049,0.443,9,808,23,Winter,2017
10108,R3,Waddell Canal,cap,waddell canal,3/6/2017,2.61,0.046,1.76,0.521,1,312,0,Winter,2017
10124,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,3/6/2017,4.32,0.133,3.08,0.436,33,856,,Winter,2017
10069,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,2/6/2017,,0.073,,,,,,Winter,2017
10063,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/6/2017,,,,,,,,Winter,2017
10066,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/6/2017,,0.045,,,,,,Winter,2017
10067,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/6/2017,,0.06,,,,,,Winter,2017
10071,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/6/2017,,0.071,,,66,1184,3,Winter,2017
10070,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/6/2017,,0.07,,,36,784,6,Winter,2017
10065,R25,verde river at beeline highway,verde,verde @ beeline,2/6/2017,,0.082,,,19,912,,Winter,2017
10058,R3,Waddell Canal,cap,waddell canal,2/6/2017,,0.049,,,1,336,2,Winter,2017
10074,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2/6/2017,,,,,,,,Winter,2017
10019,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,1/2/2017,,0.055,,,,,,Winter,2017
10013,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/2/2017,,0.046,,,,,,Winter,2017
10016,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/2/2017,,0.046,,,,,,Winter,2017
10017,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/2/2017,,0.055,,,,,,Winter,2017
10021,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/2/2017,,0.055,,,54,800,0,Winter,2017
10020,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/2/2017,,0.052,,,25,744,0,Winter,2017
10015,R25,verde river at beeline highway,verde,verde @ beeline,1/2/2017,,0.065,,,41,696,88,Winter,2017
10008,R3,Waddell Canal,cap,waddell canal,1/2/2017,,0.047,,,2,968,0,Winter,2017
10024,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,1/2/2017,,,,,,,,Winter,2017
9969,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,12/5/2016,,,,,,,,Fall,2016
9963,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/5/2016,,,,,,,,Fall,2016
9966,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/5/2016,,,,,,,,Fall,2016
9967,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/5/2016,,,,,,,,Fall,2016
9971,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,12/5/2016,,,,,,,7,Fall,2016
9970,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,12/5/2016,,,,,,,6,Fall,2016
9965,R25,verde river at beeline highway,verde,verde @ beeline,12/5/2016,,,,,,,,Fall,2016
9958,R3,Waddell Canal,cap,waddell canal,12/5/2016,,,,,,,0,Fall,2016
9974,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,12/5/2016,,,,,,,39,Fall,2016
9919,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,11/7/2016,,0.059,,,,,,Fall,2016
9913,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/7/2016,,0.061,,,,,,Fall,2016
9916,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/7/2016,,0.046,,,,,,Fall,2016
9917,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/7/2016,,0.052,,,,,,Fall,2016
9921,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/7/2016,,0.057,,,43,832,,Fall,2016
9920,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/7/2016,,0.058,,,6,872,,Fall,2016
9915,R25,verde river at beeline highway,verde,verde @ beeline,11/7/2016,,0.064,,,55,952,,Fall,2016
9908,R3,Waddell Canal,cap,waddell canal,11/7/2016,,0.045,,,11,1184,,Fall,2016
9924,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,11/7/2016,,0.065,,,69,760,,Fall,2016
9869,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,10/3/2016,,0.061,,,,,,Fall,2016
9863,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/3/2016,,0.049,,,,,,Fall,2016
9866,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/3/2016,,0.049,,,,,,Fall,2016
9867,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/3/2016,,0.054,,,,,,Fall,2016
9871,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/3/2016,,0.057,,,43,922,2,Fall,2016
9870,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/3/2016,,0.059,,,10,1200,2,Fall,2016
9865,R25,verde river at beeline highway,verde,verde @ beeline,10/3/2016,,0.069,,,28,1168,,Fall,2016
9858,R3,Waddell Canal,cap,waddell canal,10/3/2016,,0.047,,,8,1304,2,Fall,2016
9874,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,10/3/2016,,0.063,,,48,1176,1,Fall,2016
9819,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,9/12/2016,,0.037,,,,,,Summer,2016
9813,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/12/2016,,0.043,,,,,,Summer,2016
9816,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/12/2016,,0.041,,,,,,Summer,2016
9817,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/12/2016,,0.046,,,,,,Summer,2016
9821,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/12/2016,,0.038,,,33,928,1,Summer,2016
9820,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/12/2016,,0.036,,,6,1168,2,Summer,2016
9815,R25,verde river at beeline highway,verde,verde @ beeline,9/12/2016,,0.067,,,92,1304,,Summer,2016
9808,R3,Waddell Canal,cap,waddell canal,9/12/2016,,0.041,,,0,440,0,Summer,2016
9824,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,9/12/2016,,0.056,,,28,832,0,Summer,2016
9769,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,8/1/2016,,,,,,,,Summer,2016
9763,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/1/2016,,,,,,,,Summer,2016
9766,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/1/2016,,,,,,,,Summer,2016
9767,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/1/2016,,,,,,,,Summer,2016
9771,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/1/2016,,,,,,,,Summer,2016
9770,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/1/2016,,,,,,,,Summer,2016
9765,R25,verde river at beeline highway,verde,verde @ beeline,8/1/2016,,,,,,,,Summer,2016
9758,R3,Waddell Canal,cap,waddell canal,8/1/2016,,,,,,,,Summer,2016
9774,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,8/1/2016,,,,,,,,Summer,2016
9719,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,7/11/2016,,,,,,,,Summer,2016
9713,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/11/2016,,,,,,,,Summer,2016
9716,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/11/2016,,,,,,,,Summer,2016
9717,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/11/2016,,,,,,,,Summer,2016
9721,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/11/2016,,,,,,,,Summer,2016
9720,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/11/2016,,,,,,,,Summer,2016
9715,R25,verde river at beeline highway,verde,verde @ beeline,7/11/2016,,,,,,,,Summer,2016
9708,R3,Waddell Canal,cap,waddell canal,7/11/2016,,,,,,,,Summer,2016
9724,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,7/11/2016,,,,,,,,Summer,2016
9668,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/6/2016,3.82,0.06,1.57,,,,,Spring,2016
9669,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,6/6/2016,1.02,0.07,6.83,,,,,Spring,2016
9663,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/6/2016,2.1,0.047,2.24,,,,,Spring,2016
9666,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/6/2016,2.25,0.045,2,,,,,Spring,2016
9667,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/6/2016,2.86,0.056,1.96,,,,,Spring,2016
9671,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/6/2016,3.75,0.069,1.84,,91,1100,,Spring,2016
9670,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/6/2016,4.51,0.065,1.44,,15,1340,,Spring,2016
9634,R25,verde river at beeline highway,verde,verde @ beeline,6/6/2016,2.32,0.094,4.05,,1,1312,,Spring,2016
9658,R3,Waddell Canal,cap,waddell canal,6/6/2016,2.13,0.045,2.11,,0,660,,Spring,2016
9674,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,6/6/2016,3.8,0.064,1.68,,10,1936,,Spring,2016
