ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TOC,DOC,UVA,SUVA,PI,WL PI,Int @ 450,Int @ 460,Int @ 500,FI 45/50,Comments
671,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/16/2001,8/1/2001,,1.949,2.01,0.035,1.73,29.71,441.01,28.93,27.05,15.41,1.88,
672,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/16/2001,8/1/2001,,2.591,2.39,0.051,2.14,59.81,445.75,59,54.89,32.11,1.84,
673,R19,Val Vista WTP treated water,srp,val vista-treated,8/16/2001,8/1/2001,,2.35,2.33,0.047,1.99,57.19,442.45,56.31,52.34,30.16,1.87,
674,field_blank,field blank,,field,,8/1/2001,field blank,,,,,,,,,,,
675,lab_blank,laboratory blank,,lab,,8/1/2001,lab blank,,,,,,,,,,,
676,R20,Verde River at Tangle,verde,verde abv horseshoe,,8/1/2001,,,,,,,,,,,,
677,R25,verde river at beeline highway,verde,verde @ beeline,8/15/2001,8/1/2001,,1.797,2.14,0.039,1.81,47.56,447.87,47.05,43.52,26.05,1.81,
678,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/11/2001,9/1/2001,,3.746,3.62,0.042,1.15,36.32,443.42,35.45,32.25,17.81,1.99,
679,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/11/2001,9/1/2001,,4.792,4.52,0.046,1.02,32.64,446.16,31.49,28.82,16.65,1.89,
680,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/11/2001,9/1/2001,,3.594,3.64,0.05,1.38,53.25,440.13,53.07,50.17,29.54,1.8,
681,R3,Waddell Canal,cap,waddell canal,9/11/2001,9/1/2001,,3.344,3.53,0.048,1.36,49.34,445.44,48.36,45.76,26.86,1.8,
682,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/12/2001,9/1/2001,,3.269,3.35,0.047,1.39,47.19,447.65,46.49,43.36,25.4,1.83,
683,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,9/12/2001,9/1/2001,,3.323,3.63,0.048,1.32,47.17,446.98,46.1,43.52,24.72,1.86,
684,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/11/2001,9/1/2001,,1.529,1.52,0.039,2.54,44.92,444.89,44.38,40.97,24.57,1.81,
685,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/11/2001,9/1/2001,,3.788,4.06,0.069,1.7,64.49,447.87,63.8,59.53,35.35,1.8,
686,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/11/2001,9/1/2001,,3.49,3.43,0.085,2.48,92.88,445.26,92.33,86.5,52.2,1.77,
687,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/11/2001,9/1/2001,,3.28,3.16,0.075,2.38,84.3,445.26,83.49,78.89,46.38,1.8,
688,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/13/2001,9/1/2001,,3.658,3.52,0.06,1.71,65.68,446.2,65.11,60.66,36.29,1.79,
689,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/13/2001,9/1/2001,,3.734,4.08,0.06,1.47,58.72,442.65,58.19,54.65,31.35,1.86,
690,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,9/13/2001,9/1/2001,,3.921,3.8,0.06,1.57,56.13,444.73,55.36,51.35,29.77,1.86,
691,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/13/2001,9/1/2001,,3.667,3.55,0.06,1.7,66.81,443.75,66.05,61.92,36.55,1.81,
692,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/13/2001,9/1/2001,,3.723,3.41,0.06,1.77,65.78,447,64.08,60.32,35.36,1.81,
693,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/13/2001,9/1/2001,,3.299,3.31,0.046,1.4,45.56,446.07,44.79,41.78,24.45,1.83,
694,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/13/2001,9/1/2001,,3.418,3.79,0.058,1.53,65.96,442.82,65.04,60.69,36.07,1.8,
695,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/13/2001,9/1/2001,,3.606,3.66,0.059,1.6,65.3,444.96,63.63,59.96,35.86,1.77,
696,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/12/2001,9/1/2001,,3.835,3.5,0.061,1.75,63.05,444.69,62.33,58.79,34.07,1.83,
697,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/12/2001,9/1/2001,,2.925,3.34,0.034,1.03,49.8,442.38,49.03,44.45,24.36,2.01,
698,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/12/2001,9/1/2001,,5.262,5.13,0.065,1.26,58.71,444.79,57.99,54.47,31.61,1.83,
699,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/12/2001,9/1/2001,,,,,,,,,,,,
700,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/12/2001,9/1/2001,,3.388,3.24,0.053,1.63,59.47,443.2,59.1,55.52,32.13,1.84,
701,R19,Val Vista WTP treated water,srp,val vista-treated,9/12/2001,9/1/2001,,2.959,2.84,0.042,1.47,42.66,445.01,41.93,38.9,22.47,1.87,
702,field_blank,field blank,,field,,9/1/2001,field blank,,,,,,,,,,,
703,lab_blank,laboratory blank,,lab,,9/1/2001,lab blank,,,,,,,,,,,
704,R20,Verde River at Tangle,verde,verde abv horseshoe,,9/1/2001,,,,,,,,,,,,
705,R25,verde river at beeline highway,verde,verde @ beeline,9/12/2001,9/1/2001,,2.324,1.94,0.04,2.07,43.46,445.6,43.38,40.46,24.21,1.79,
706,R1,CAP canal above Waddell Canal,cap,cap-siphon,10/16/2001,10/1/2001,,3.175,3.28,0.042,1.28,36.33,443,34.87,32.74,17.89,1.95,
707,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/16/2001,10/1/2001,,4.193,4.07,0.047,1.15,34.83,440,33.93,31.89,18.06,1.88,
708,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/16/2001,10/1/2001,,3.968,3.94,0.048,1.22,41.66,446,41.13,38.89,22.03,1.87,
709,R3,Waddell Canal,cap,waddell canal,10/16/2001,10/1/2001,,3.343,3.36,0.051,1.52,50.86,447,49.76,47.27,27.78,1.79,
710,R4,Cap Canal at 7th St.,cap,cap @ 7th st,10/17/2001,10/1/2001,,3.368,3.31,0.047,1.42,45.08,450,45.08,41.15,24.1,1.87,
711,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,10/17/2001,10/1/2001,,3.529,3.7,0.048,1.3,45.43,441,44.79,41.75,24.1,1.86,
712,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,10/16/2001,10/1/2001,,1.945,1.65,0.053,3.22,77.28,444,75.39,71.22,42.09,1.79,
713,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/16/2001,10/1/2001,,3.703,3.58,0.063,1.76,52.6,445.5,51.83,48.58,27.59,1.88,
714,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/16/2001,10/1/2001,,,,,,,,,,,,
715,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,10/16/2001,10/1/2001,,3.455,3.85,0.09,2.34,95.13,448,94.67,89.31,52.94,1.79,
716,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,10/18/2001,10/1/2001,,4.528,4.08,0.068,1.67,67.23,442.5,66.4,62.69,37.83,1.76,
717,R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/18/2001,10/1/2001,,3.77,3.79,0.063,1.66,66.95,445.5,65.79,61.29,35.99,1.83,
718,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,10/18/2001,10/1/2001,,3.66,3.71,0.063,1.7,66.42,446,65.05,61.52,35.72,1.82,
719,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/18/2001,10/1/2001,,3.88,3.86,0.063,1.63,68.03,445.5,67.3,63.66,37,1.82,
720,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/18/2001,10/1/2001,,3.474,3.49,0.06,1.72,67.5,445.5,66.57,61.99,36.67,1.82,
