ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TOC,DOC,UVA,SUVA,PI,WL PI,Int @ 450,Int @ 460,Int @ 500,FI 45/50,Comments
3028,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/16/2004,3/16/2004,,2.97,3.02,0.038,1.26,,,,,,,
3029,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/16/2004,3/16/2004,,3,2.98,0.061,2.06,,,,,,,
3030,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/16/2004,3/16/2004,,3.03,3.08,0.068,2.2,,,,,,,
3031,R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/16/2004,3/16/2004,,4.77,4.59,0.074,1.6,,,,,,,
3032,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,3/16/2004,3/16/2004,,4.34,4.29,0.072,1.67,,,,,,,
3033,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/16/2004,3/16/2004,,4.06,3.95,0.066,1.67,,,,,,,
3034,R20,Verde River at Tangle,verde,verde abv horseshoe,3/29/2004,3/29/2004,,1.53,1.72,0.043,2.49,,,,,,,
3035,Havasu 1,Havasu lake Sample,,Havasu 1,3/16/2004,3/16/2004,,2.77,2.61,0.036,1.36,,,,,,,
3036,Havasu 2,Havasu lake Sample,,Havasu 2,3/16/2004,3/16/2004,,2.77,2.66,0.037,1.37,,,,,,,
3037,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,3/16/2004,3/16/2004,,,,,,,,,,,,
3038,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,3/16/2004,3/16/2004,,,,,,,,,,,,
3039,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,3/16/2004,3/16/2004,,,,,,,,,,,,
3040,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,3/16/2004,3/16/2004,,,,,,,,,,,,
3041,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,3/16/2004,3/16/2004,,,,,,,,,,,,
3042,R1,CAP canal above Waddell Canal,cap,cap-siphon,3/16/2004,3/16/2004,,,,,,,,,,,,
3043,R4,Cap Canal at 7th St.,cap,cap @ 7th st,3/16/2004,3/16/2004,,,,,,,,,,,,
3044,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,3/16/2004,3/16/2004,,,,,,,,,,,,
3045,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,3/16/2004,3/16/2004,,,,,,,,,,,,
3046,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,3/16/2004,3/16/2004,,,,,,,,,,,,
3047,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,3/16/2004,3/16/2004,,,,,,,,,,,,
3048,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,3/16/2004,3/16/2004,,,,,,,,,,,,
3049,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,3/16/2004,3/16/2004,,,,,,,,,,,,
3050,R3,Waddell Canal,cap,waddell canal,4/13/2004,4/13/2004,,,,0.035,,,,,,,,
3051,UH In,Union Hills Inlet,cap,Union Hills Inlet,4/13/2004,4/13/2004,,,2.55,0.033,1.29,,,,,,,
3052,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,4/13/2004,4/13/2004,,,2.33,0.019,0.83,,,,,,,
3053,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/13/2004,4/13/2004,,,3.13,0.035,1.11,,,,,,,
3054,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,4/13/2004,4/13/2004,,,2.69,0.037,1.39,,,,,,,
3055,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,4/13/2004,4/13/2004,,,2.5,0.034,1.35,,,,,,,
3056,R19,Val Vista WTP treated water,srp,val vista-treated,4/13/2004,4/13/2004,,,1.99,0.022,1.12,,,,,,,
3057,HTC,Head of the Tempe Canal,tempe,head of tempe canal,4/13/2004,4/13/2004,,,,,,,,,,,,
3058,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,4/13/2004,4/13/2004,,,,,,,,,,,,
3059,SPT Out,Tempe's South Plant treated water,tempe,STP Out,4/13/2004,4/13/2004,,,,,,,,,,,,
3060,R25,verde river at beeline highway,verde,verde @ beeline,4/13/2004,4/13/2004,,,,,,,,,,,,
3061,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/13/2004,4/13/2004,,,3.1,0.055,1.76,,,,,,,
3062,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/13/2004,4/13/2004,,,2.25,0.049,2.16,,,,,,,
3063,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/13/2004,4/13/2004,,,2.68,0.037,1.39,,,,,,,
3064,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/13/2004,4/13/2004,,,2.53,0.042,1.66,,,,,,,
3065,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/13/2004,4/13/2004,,,,,,,,,,,,
3066,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,4/13/2004,4/13/2004,,,2.57,0.04,1.55,,,,,,,
3067,R17,Deer Valley WTP treated water,srp,deer valley-treated,4/13/2004,4/13/2004,,,2.19,0.013,0.6,,,,,,,
3068,Green In,Greenway WTP Inlet,srp,Green In,4/13/2004,4/13/2004,,,2.09,0.029,1.4,,,,,,,
3069,Green Out,Greenway WTP Outlet,srp,Green Out,4/13/2004,4/13/2004,,,1.74,0.013,0.72,,,,,,,
3070,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,4/13/2004,4/13/2004,,,2.58,0.041,1.58,,,,,,,
3071,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,4/13/2004,4/13/2004,,,2.13,0.024,1.11,,,,,,,
3072,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/13/2004,4/13/2004,,3.407,3.27,0.038,1.15,,,,,,,
3073,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,4/13/2004,4/13/2004,,3.086,2.91,0.038,1.3,,,,,,,
3074,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/13/2004,4/13/2004,,2.846,2.93,0.059,2.01,,,,,,,
3075,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/13/2004,4/13/2004,,2.838,2.96,0.061,2.07,,,,,,,
3076,R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/13/2004,4/13/2004,,4.427,4.51,0.07,1.55,,,,,,,
3077,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,4/13/2004,4/13/2004,,4.504,4.22,0.069,1.64,,,,,,,
3078,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/13/2004,4/13/2004,,4.073,4.08,0.067,1.63,,,,,,,
3079,R20,Verde River at Tangle,verde,verde abv horseshoe,4/13/2004,4/13/2004,,,,,,,,,,,,
3080,Havasu 1,Havasu lake Sample,,Havasu 1,4/20/2004,4/20/2004,,2.759,2.66,0.035,1.33,,,,,,,
3081,Havasu 2,Havasu lake Sample,,Havasu 2,4/20/2004,4/20/2004,,2.7,2.64,0.035,1.34,,,,,,,
3082,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,4/13/2004,4/13/2004,,,,,,,,,,,,
3083,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/13/2004,4/13/2004,,,,,,,,,,,,
3084,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/13/2004,4/13/2004,,,,,,,,,,,,
3085,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,4/13/2004,4/13/2004,,,,,,,,,,,,
3086,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,4/13/2004,4/13/2004,,,,,,,,,,,,
3087,R1,CAP canal above Waddell Canal,cap,cap-siphon,4/13/2004,4/13/2004,,,,,,,,,,,,
3088,R4,Cap Canal at 7th St.,cap,cap @ 7th st,4/13/2004,4/13/2004,,,,,,,,,,,,
3089,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,4/13/2004,4/13/2004,,,,,,,,,,,,
3090,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,4/13/2004,4/13/2004,,,,,,,,,,,,
3091,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,4/13/2004,4/13/2004,,,,,,,,,,,,
3092,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,4/13/2004,4/13/2004,,,,,,,,,,,,
3093,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,4/13/2004,4/13/2004,,,,,,,,,,,,
3094,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,4/13/2004,4/13/2004,,,,,,,,,,,,
3095,R3,Waddell Canal,cap,waddell canal,5/18/2004,5/18/2004,,,2.87,0.037,1.28,,,,,,,
3096,UH In,Union Hills Inlet,cap,Union Hills Inlet,5/18/2004,5/18/2004,,,2.65,0.033,1.25,,,,,,,
3097,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,5/18/2004,5/18/2004,,,2.42,0.021,0.86,,,,,,,
3098,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/18/2004,5/18/2004,,,2.65,0.036,1.37,,,,,,,
3099,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,5/18/2004,5/18/2004,,,3.24,0.051,1.59,,,,,,,
3100,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/18/2004,5/18/2004,,,3.02,0.045,1.48,,,,,,,
3101,R19,Val Vista WTP treated water,srp,val vista-treated,5/18/2004,5/18/2004,,,2.21,0.029,1.31,,,,,,,
3102,HTC,Head of the Tempe Canal,tempe,head of tempe canal,5/18/2004,5/18/2004,,,2.28,0.033,1.45,,,,,,,
3103,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,5/18/2004,5/18/2004,,,0.83,0.012,1.39,,,,,,,
3104,SPT Out,Tempe's South Plant treated water,tempe,STP Out,5/18/2004,5/18/2004,,,0.84,0.009,1.05,,,,,,,
3105,R25,verde river at beeline highway,verde,verde @ beeline,5/18/2004,5/18/2004,,,2.06,0.04,1.92,,,,,,,
3106,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/18/2004,5/18/2004,,,3.71,0.064,1.74,,,,,,,
3107,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/18/2004,5/18/2004,,,3.56,0.063,1.77,,,,,,,
3108,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/18/2004,5/18/2004,,,3.08,0.047,1.54,,,,,,,
3109,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/18/2004,5/18/2004,,,3,0.047,1.57,,,,,,,
3110,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,5/18/2004,5/18/2004,,,2.47,0.034,1.39,,,,,,,
3111,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/18/2004,5/18/2004,,,2.99,0.045,1.52,,,,,,,
3112,R17,Deer Valley WTP treated water,srp,deer valley-treated,5/18/2004,5/18/2004,,,2.36,0.018,0.77,,,,,,,
3113,Green In,Greenway WTP Inlet,srp,Green In,5/18/2004,5/18/2004,,,2.93,0.045,1.53,,,,,,,
3114,Green Out,Greenway WTP Outlet,srp,Green Out,5/18/2004,5/18/2004,,,2.22,0.02,0.91,,,,,,,
3115,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,5/18/2004,5/18/2004,,,3.03,0.045,1.49,,,,,,,
3116,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,5/18/2004,5/18/2004,,,2.27,0.029,1.27,,,,,,,
3117,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/18/2004,5/18/2004,,,,,,,,,,,,
3118,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/18/2004,5/18/2004,,,,,,,,,,,,
3119,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/18/2004,5/18/2004,,2.993,2.78,0.048,1.74,,,,,,,
3120,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/18/2004,5/18/2004,,2.862,2.73,0.051,1.85,,,,,,,
3121,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/18/2004,5/18/2004,,5.045,4.73,0.069,1.47,,,,,,,
3122,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,5/18/2004,5/18/2004,,5.187,4.78,0.07,1.47,,,,,,,
3123,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/18/2004,5/18/2004,,4.333,4.06,0.067,1.65,,,,,,,
3124,R20,Verde River at Tangle,verde,verde abv horseshoe,5/20/2004,5/20/2004,,,0.99,0.031,3.13,,,,,,,
3125,Havasu 1,Havasu lake Sample,,Havasu 1,5/25/2004,5/25/2004,,,2.28,0.037,1.64,,,,,,,
3126,Havasu 2,Havasu lake Sample,,Havasu 2,5/25/2004,5/25/2004,,,2.25,0.036,1.62,,,,,,,
3127,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,5/18/2004,5/18/2004,,,,,,,,,,,,
3128,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/18/2004,5/18/2004,,,,,,,,,,,,
3129,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/18/2004,5/18/2004,,,,,,,,,,,,
3130,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/18/2004,5/18/2004,,,,,,,,,,,,
3131,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/18/2004,5/18/2004,,,,,,,,,,,,
3132,R1,CAP canal above Waddell Canal,cap,cap-siphon,5/18/2004,5/18/2004,,,,,,,,,,,,
3133,R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/18/2004,5/18/2004,,,,,,,,,,,,
3134,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/18/2004,5/18/2004,,,,,,,,,,,,
3135,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/18/2004,5/18/2004,,,,,,,,,,,,
3136,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/18/2004,5/18/2004,,,,,,,,,,,,
3137,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/18/2004,5/18/2004,,,,,,,,,,,,
3138,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,5/18/2004,5/18/2004,,,,,,,,,,,,
3139,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,5/18/2004,5/18/2004,,,,,,,,,,,,
3140,R3,Waddell Canal,cap,waddell canal,6/21/2004,6/21/2004,,,,,,,,,,,,
3141,UH In,Union Hills Inlet,cap,Union Hills Inlet,6/21/2004,6/21/2004,,,2.66,0.039,1.46,,,,,,,
3142,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,6/21/2004,6/21/2004,,,2.41,0.022,0.92,,,,,,,
3143,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/21/2004,6/21/2004,,,2.67,0.039,1.47,,,,,,,
3144,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,6/21/2004,6/21/2004,,,3.99,0.068,1.69,,,,,,,
3145,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/21/2004,6/21/2004,,,3.57,0.067,1.88,,,,,,,
3146,R19,Val Vista WTP treated water,srp,val vista-treated,6/21/2004,6/21/2004,,,3.29,0.062,1.88,,,,,,,
3147,HTC,Head of the Tempe Canal,tempe,head of tempe canal,6/21/2004,6/21/2004,,,3.19,0.059,1.85,,,,,,,
3148,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,6/21/2004,6/21/2004,,,1.82,0.033,1.82,,,,,,,
3149,SPT Out,Tempe's South Plant treated water,tempe,STP Out,6/21/2004,6/21/2004,,,2.09,0.021,0.99,,,,,,,
3150,R25,verde river at beeline highway,verde,verde @ beeline,6/21/2004,6/21/2004,,,1.67,0.039,2.31,,,,,,,
3151,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/21/2004,6/21/2004,,,3.88,0.073,1.89,,,,,,,
3152,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/21/2004,6/21/2004,,,3.86,0.072,1.88,,,,,,,
3153,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/21/2004,6/21/2004,,,3.5,0.063,1.79,,,,,,,
3154,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/21/2004,6/21/2004,,,3.53,0.059,1.68,,,,,,,
3155,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/21/2004,6/21/2004,,,2.33,0.032,1.39,,,,,,,
3156,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/21/2004,6/21/2004,,,3.39,0.059,1.74,,,,,,,
3157,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/21/2004,6/21/2004,,,2.39,0.018,0.76,,,,,,,
3158,Green In,Greenway WTP Inlet,srp,Green In,6/21/2004,6/21/2004,,,3.29,0.059,1.79,,,,,,,
3159,Green Out,Greenway WTP Outlet,srp,Green Out,6/21/2004,6/21/2004,,,2.73,0.024,0.89,,,,,,,
3160,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,6/21/2004,6/21/2004,,,3.27,0.063,1.91,,,,,,,
3161,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,6/21/2004,6/21/2004,,,,,,,,,,,,
3162,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/21/2004,6/21/2004,,,3.17,0.061,1.93,,,,,,,
3163,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/21/2004,6/21/2004,,,3.19,0.048,1.5,,,,,,,
3164,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/21/2004,6/21/2004,,,3.78,0.054,1.42,,,,,,,
3165,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/21/2004,6/21/2004,,,2.83,0.056,1.96,,,,,,,
3166,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/21/2004,6/21/2004,,,4.85,0.077,1.58,,,,,,,
3167,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,6/21/2004,6/21/2004,,,5.19,0.087,1.67,,,,,,,
3168,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/21/2004,6/21/2004,,,5.26,0.083,1.57,,,,,,,
3169,R20,Verde River at Tangle,verde,verde abv horseshoe,6/24/2004,6/24/2004,,,0.47,0.035,7.39,,,,,,,
3170,Havasu 1,Havasu lake Sample,,Havasu 1,6/22/2004,6/22/2004,,,2.62,0.039,1.49,,,,,,,
3171,Havasu 2,Havasu lake Sample,,Havasu 2,6/22/2004,6/22/2004,,,2.65,0.041,1.55,,,,,,,
3172,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,6/21/2004,6/21/2004,,,,,,,,,,,,
3173,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/21/2004,6/21/2004,,,,,,,,,,,,
3174,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/21/2004,6/21/2004,,,,,,,,,,,,
3175,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/21/2004,6/21/2004,,,,,,,,,,,,
3176,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/21/2004,6/21/2004,,,,,,,,,,,,
3177,R1,CAP canal above Waddell Canal,cap,cap-siphon,6/21/2004,6/21/2004,,,,,,,,,,,,
3178,R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/21/2004,6/21/2004,,,,,,,,,,,,
3179,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,6/21/2004,6/21/2004,,,,,,,,,,,,
3180,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/21/2004,6/21/2004,,,,,,,,,,,,
3181,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/21/2004,6/21/2004,,,,,,,,,,,,
3182,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/21/2004,6/21/2004,,,,,,,,,,,,
3183,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,6/21/2004,6/21/2004,,,,,,,,,,,,
3184,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,6/21/2004,6/21/2004,,,,,,,,,,,,
3185,R3,Waddell Canal,cap,waddell canal,7/20/2004,7/20/2004,,,,,,,,,,,,
3186,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/20/2004,7/20/2004,,,2.36,0.046,1.94,,,,,,,
3187,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/20/2004,7/20/2004,,,2.63,0.028,1.06,,,,,,,
3188,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/20/2004,7/20/2004,,,2.44,0.047,1.92,,,,,,,
3189,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,7/20/2004,7/20/2004,,,3.47,0.085,2.45,,,,,,,
3190,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/20/2004,7/20/2004,,,3.12,0.079,2.54,,,,,,,
3191,R19,Val Vista WTP treated water,srp,val vista-treated,7/20/2004,7/20/2004,,,2.48,0.048,1.95,,,,,,,
3192,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/20/2004,7/20/2004,,,3.08,0.071,2.29,,,,,,,
3193,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/20/2004,7/20/2004,,,3.04,0.068,2.25,,,,,,,
3194,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/20/2004,7/20/2004,,,3,0.045,1.49,,,,,,,
3195,R25,verde river at beeline highway,verde,verde @ beeline,7/20/2004,7/20/2004,,,1.28,0.059,4.58,,,,,,,
3196,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/20/2004,7/20/2004,,,3.9,0.091,2.33,,,,,,,
3197,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/20/2004,7/20/2004,,,3.74,0.085,2.27,,,,,,,
3198,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/20/2004,7/20/2004,,,2.95,0.069,2.35,,,,,,,
3199,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/20/2004,7/20/2004,,,2.87,0.065,2.26,,,,,,,
3200,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/20/2004,7/20/2004,,,2.28,0.047,2.08,,,,,,,
3201,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/20/2004,7/20/2004,,,3,0.058,1.93,,,,,,,
3202,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/20/2004,7/20/2004,,,2.54,0.038,1.48,,,,,,,
3203,Green In,Greenway WTP Inlet,srp,Green In,7/20/2004,7/20/2004,,,3.27,0.077,2.34,,,,,,,
3204,Green Out,Greenway WTP Outlet,srp,Green Out,7/20/2004,7/20/2004,,,2.17,0.026,1.22,,,,,,,
3205,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/20/2004,7/20/2004,,,2.73,0.066,2.4,,,,,,,
3206,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/20/2004,7/20/2004,,,2.23,0.046,2.07,,,,,,,
3207,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/20/2004,7/20/2004,,,3.17,0.031,0.98,,,,,,,
3208,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/20/2004,7/20/2004,,,3.19,0.037,1.17,,,,,,,
3209,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/20/2004,7/20/2004,,,2.53,0.063,2.48,,,,,,,
3210,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/20/2004,7/20/2004,,,2.51,0.066,2.62,,,,,,,
3211,R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/20/2004,7/20/2004,,,4.72,0.095,2.01,,,,,,,
3212,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,7/20/2004,7/20/2004,,,4.74,0.099,2.09,,,,,,,
3213,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/20/2004,7/20/2004,,,4.02,0.086,2.14,,,,,,,
3214,R20,Verde River at Tangle,verde,verde abv horseshoe,7/20/2004,7/20/2004,,,2.74,0.135,4.92,,,,,,,
3215,Havasu 1,Havasu lake Sample,,Havasu 1,7/20/2004,7/20/2004,,,2.14,0.036,1.69,,,,,,,
3216,Havasu 2,Havasu lake Sample,,Havasu 2,7/20/2004,7/20/2004,,,,,,,,,,,,
3217,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,7/20/2004,7/20/2004,,,,,,,,,,,,
3218,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/20/2004,7/20/2004,,,,,,,,,,,,
3219,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/20/2004,7/20/2004,,,,,,,,,,,,
3220,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/20/2004,7/20/2004,,,,,,,,,,,,
3221,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/20/2004,7/20/2004,,,,,,,,,,,,
3222,R1,CAP canal above Waddell Canal,cap,cap-siphon,7/20/2004,7/20/2004,,,,,,,,,,,,
3223,R4,Cap Canal at 7th St.,cap,cap @ 7th st,7/20/2004,7/20/2004,,,,,,,,,,,,
3224,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,7/20/2004,7/20/2004,,,,,,,,,,,,
3225,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,7/20/2004,7/20/2004,,,,,,,,,,,,
3226,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,7/20/2004,7/20/2004,,,,,,,,,,,,
3227,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,7/20/2004,7/20/2004,,,,,,,,,,,,
3228,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/20/2004,7/20/2004,,,,,,,,,,,,
3229,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/20/2004,7/20/2004,,,,,,,,,,,,
3230,R3,Waddell Canal,cap,waddell canal,8/17/2004,8/17/2004,,,2.41,0.035,1.45,,,,,,,
3231,UH In,Union Hills Inlet,cap,Union Hills Inlet,8/17/2004,8/17/2004,,,2.22,0.032,1.46,,,,,,,
3232,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,8/17/2004,8/17/2004,,,2.37,0.017,0.7,,,,,,,
3233,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/17/2004,8/17/2004,,,2.21,0.035,1.57,,,,,,,
3234,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,8/17/2004,8/17/2004,,,2.69,0.052,1.94,,,,,,,
3235,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/17/2004,8/17/2004,,,2.52,0.046,1.83,,,,,,,
3236,R19,Val Vista WTP treated water,srp,val vista-treated,8/17/2004,8/17/2004,,,1.85,0.02,1.1,,,,,,,
3237,HTC,Head of the Tempe Canal,tempe,head of tempe canal,8/17/2004,8/17/2004,,,1.87,0.033,1.74,,,,,,,
3238,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,8/17/2004,8/17/2004,,,0.71,0.05,7.05,,,,,,,
3239,SPT Out,Tempe's South Plant treated water,tempe,STP Out,8/17/2004,8/17/2004,,,1.23,0.024,1.97,,,,,,,
3240,R25,verde river at beeline highway,verde,verde @ beeline,8/17/2004,8/17/2004,,,2.56,0.098,3.81,,,,,,,
